Tag 'synth_adsr.c' range is 0x8004F394 - 0x8004FA47
Tag 'osalloc.c' range is 0x800080B8 - 0x800087C3
[!] Function 0x800534F3 'CalcBus' has multiple file tags: set(['hw_volconv.c', 'synth.c'])
[!] Function 0x800536D3 'CalcBusDPL2' has multiple file tags: set(['hw_volconv.c', 'synth.c'])
[!] Function 0x8005393F 'salCalcVolume' has multiple file tags: set(['hw_volconv.c', 'synth.c'])
[!] Function 0x80053BD3 'FUN_80053bd0' has multiple file tags: set(['hw_volconv.c', 'synth.c'])
[!] Function 0x80053C5F 'UpdateRoomDistances' has multiple file tags: set(['snd3d.c', 'synth.c'])
[!] Function 0x80053D57 'CheckRoomStatus' has multiple file tags: set(['snd3d.c', 'synth.c'])
[!] Function 0x8005417F 'CalcDoorParameters' has multiple file tags: set(['snd3d.c', 'synth.c'])
[!] Function 0x800541FF 'CheckDoorStatus' has multiple file tags: set(['snd3d.c', 'synth.c'])
[!] Function 0x8005434F 'CalcEmitter' has multiple file tags: set(['snd3d.c', 'synth.c'])
[!] Function 0x8005481B 'clip127' has multiple file tags: set(['snd3d.c', 'synth.c'])
[!] Function 0x8005482F 'clip3FFF' has multiple file tags: set(['snd3d.c', 'synth.c'])
[!] Function 0x80054847 'SetFXParameters' has multiple file tags: set(['snd3d.c', 'synth.c'])
[!] Function 0x800549FF 'EmitterShutdown' has multiple file tags: set(['snd3d.c', 'synth.c'])
[!] Function 0x80054A87 'sndCheckEmitter' has multiple file tags: set(['snd3d.c', 'synth.c'])
[!] Function 0x80054AE3 'sndRemoveEmitter' has multiple file tags: set(['snd3d.c', 'synth.c'])
[!] Function 0x80054B37 'ClearStartList' has multiple file tags: set(['snd3d.c', 'synth.c'])
[!] Function 0x80054B53 'AddRunningEmitter' has multiple file tags: set(['snd3d.c', 'synth.c'])
[!] Function 0x80054C8F 'AddStartingEmitter' has multiple file tags: set(['snd3d.c', 'synth.c'])
[!] Function 0x80054E53 'StartContinousEmitters' has multiple file tags: set(['snd3d.c', 'synth.c'])
[!] Function 0x80055053 's3dHandle' has multiple file tags: set(['snd3d.c', 'synth.c'])
[!] Function 0x80055393 's3dInit' has multiple file tags: set(['snd3d.c', 'synth.c'])
[!] Function 0x800553D7 'DoInit' has multiple file tags: set(['snd_init.c', 'synth.c'])
[!] Function 0x8005546F 'sndInit' has multiple file tags: set(['snd_init.c', 'synth.c'])
[!] Function 0x80055563 'sndSetMaxVoices' has multiple file tags: set(['snd_init.c', 'synth.c'])
[!] Function 0x80055607 'sndIsInstalled' has multiple file tags: set(['snd_init.c', 'synth.c'])
[!] Function 0x8005560F 'salApplyMatrix' has multiple file tags: set(['snd3d.c', 'synth.c'])
[!] Function 0x800556BB 'salNormalizeVector' has multiple file tags: set(['snd3d.c', 'synth.c'])
[!] Function 0x800557A3 'inpResetGlobalMIDIDirtyFlag' has multiple file tags: set(['snd_midictrl.c', 'synth.c'])
[!] Function 0x80055857 'inpSetGlobalMIDIDirtyFlag' has multiple file tags: set(['snd_midictrl.c', 'synth.c'])
